x Distance [mm]	Height [cm]
 152.615 	 6.504 
 152.800 	 6.504 
 152.990 	 6.504 
 153.180 	 6.504 
 153.365 	 6.498 
 153.555 	 6.497 
 153.740 	 6.499 
 153.930 	 6.499 
 154.120 	 6.496 
 154.305 	 6.494 
 154.495 	 6.494 
 154.680 	 6.490 
 154.870 	 6.489 
 155.060 	 6.489 
 155.245 	 6.489 
 155.435 	 6.489 
 155.620 	 6.489 
 155.810 	 6.486 
 156.000 	 6.488 
 156.185 	 6.489 
 156.375 	 6.489 
 156.560 	 6.486 
 156.750 	 6.484 
 156.940 	 6.487 
 157.125 	 6.486 
 157.315 	 6.484 
 157.500 	 6.481 
 157.690 	 6.479 
 157.880 	 6.479 
 158.065 	 6.479 
 158.255 	 6.479 
 158.440 	 6.479 
 158.630 	 6.483 
 158.820 	 6.481 
 159.005 	 6.479 
 159.195 	 6.479 
 159.380 	 6.472 
 159.570 	 6.474 
 159.760 	 6.475 
 159.945 	 6.475 
 160.135 	 6.475 
 160.320 	 6.475 
 160.510 	 6.471 
 160.700 	 6.470 
 160.885 	 6.470 
 161.075 	 6.470 
 161.260 	 6.470 
 161.450 	 6.470 
 161.640 	 6.466 
 161.825 	 6.465 
 162.015 	 6.462 
 162.200 	 6.460 
 162.390 	 6.460 
 162.580 	 6.460 
 162.765 	 6.460 
 162.955 	 6.460 
 163.140 	 6.460 
 163.330 	 6.460 
 163.520 	 6.453 
 163.705 	 6.450 
 163.895 	 6.450 
 164.080 	 6.447 
 164.270 	 6.445 
 164.460 	 6.449 
 164.645 	 6.447 
 164.835 	 6.445 
 165.020 	 6.445 
 165.210 	 6.445 
 165.400 	 6.442 
 165.585 	 6.440 
 165.775 	 6.440 
 165.960 	 6.440 
 166.150 	 6.440 
 166.340 	 6.437 
 166.525 	 6.439 
 166.715 	 6.437 
 166.900 	 6.436 
 167.090 	 6.436 
 167.280 	 6.436 
 167.465 	 6.432 
 167.655 	 6.431 
 167.840 	 6.431 
 168.030 	 6.431 
 168.220 	 6.431 
 168.405 	 6.427 
 168.595 	 6.426 
 168.780 	 6.426 
 168.970 	 6.426 
 169.160 	 6.426 
 169.345 	 6.422 
 169.535 	 6.421 
 169.720 	 6.416 
 169.910 	 6.416 
 170.100 	 6.416 
 170.285 	 6.416 
 170.475 	 6.416 
 170.660 	 6.413 
 170.850 	 6.407 
 171.040 	 6.406 
 171.225 	 6.406 
 171.415 	 6.403 
 171.600 	 6.401 
 171.790 	 6.401 
 171.980 	 6.398 
 172.165 	 6.396 
 172.355 	 6.396 
 172.540 	 6.393 
 172.730 	 6.392 
 172.920 	 6.392 
 173.105 	 6.388 
 173.295 	 6.391 
 173.480 	 6.388 
 173.670 	 6.387 
 173.860 	 6.387 
 174.045 	 6.378 
 174.235 	 6.373 
 174.420 	 6.372 
 174.610 	 6.377 
 174.800 	 6.377 
 174.985 	 6.381 
 175.175 	 6.374 
 175.360 	 6.372 
 175.550 	 6.372 
 175.740 	 6.372 
 175.925 	 6.372 
 176.115 	 6.368 
 176.300 	 6.367 
 176.490 	 6.367 
 176.680 	 6.367 
 176.865 	 6.363 
 177.055 	 6.362 
 177.240 	 6.358 
 177.430 	 6.353 
 177.620 	 6.356 
 177.805 	 6.353 
 177.995 	 6.353 
 178.180 	 6.348 
 178.370 	 6.348 
 178.560 	 6.343 
 178.745 	 6.343 
 178.935 	 6.339 
 179.120 	 6.345 
 179.310 	 6.357 
 179.500 	 6.372 
 179.685 	 6.423 
 179.875 	 6.477 
 180.060 	 6.588 
 180.250 	 6.652 
 180.440 	 6.765 
 180.625 	 6.840 
 180.815 	 6.864 
 181.000 	 6.878 
 181.190 	 6.909 
 181.380 	 6.939 
 181.565 	 6.935 
 181.755 	 6.951 
 181.940 	 8.678 
 182.130 	 9.564 
 182.320 	 6.542 
 182.505 	 5.675 
 182.695 	 5.715 
 182.880 	 5.734 
 183.070 	 5.794 
 183.260 	 5.857 
 183.445 	 5.922 
 183.635 	 6.004 
 183.820 	 6.182 
 184.010 	 6.241 
 184.200 	 6.289 
 184.385 	 6.322 
 184.575 	 6.340 
 184.760 	 6.355 
 184.950 	 6.365 
 185.140 	 6.367 
 185.325 	 6.367 
 185.515 	 6.372 
 185.700 	 6.379 
 185.890 	 6.378 
 186.080 	 6.373 
 186.265 	 6.381 
 186.455 	 6.382 
 186.640 	 6.382 
 186.830 	 6.378 
 187.020 	 6.373 
 187.205 	 6.372 
 187.395 	 6.376 
 187.580 	 6.377 
 187.770 	 6.377 
 187.960 	 6.384 
 188.145 	 6.380 
 188.335 	 6.369 
 188.520 	 6.360 
 188.710 	 6.353 
 188.900 	 6.357 
 189.085 	 6.357 
 189.275 	 6.357 
 189.460 	 6.346 
 189.650 	 6.343 
 189.840 	 6.347 
 190.025 	 6.352 
 190.215 	 6.353 
 190.400 	 6.357 
 190.590 	 6.361 
 190.780 	 6.358 
 190.965 	 6.361 
 191.155 	 6.354 
 191.340 	 6.353 
 191.530 	 6.353 
 191.720 	 6.353 
 191.905 	 6.357 
 192.095 	 6.357 
 192.280 	 6.357 
 192.470 	 6.350 
 192.660 	 6.352 
 192.845 	 6.353 
 193.035 	 6.353 
 193.220 	 6.357 
 193.410 	 6.354 
 193.600 	 6.353 
 193.785 	 6.353 
 193.975 	 6.353 
 194.160 	 6.357 
 194.350 	 6.357 
 194.540 	 6.357 
 194.725 	 6.357 
 194.915 	 6.357 
 195.100 	 6.362 
 195.290 	 6.358 
 195.480 	 6.357 
 195.665 	 6.357 
 195.855 	 6.357 
 196.040 	 6.357 
 196.230 	 6.357 
 196.420 	 6.357 
 196.605 	 6.367 
 196.795 	 6.367 
 196.980 	 6.371 
 197.170 	 6.368 
 197.360 	 6.371 
 197.545 	 6.368 
 197.735 	 6.368 
 197.920 	 6.372 
 198.110 	 6.372 
 198.300 	 6.372 
 198.485 	 6.368 
 198.675 	 6.372 
 198.860 	 6.372 
 199.050 	 6.372 
 199.240 	 6.377 
 199.425 	 6.377 
 199.615 	 6.377 
 199.800 	 6.373 
 199.990 	 6.372 
 200.180 	 6.372 
 200.365 	 6.372 
 200.555 	 6.372 
 200.740 	 6.377 
 200.930 	 6.373 
 201.120 	 6.372 
 201.305 	 6.372 
 201.495 	 6.372 
 201.680 	 6.372 
 201.870 	 6.372 
 202.060 	 6.372 
 202.245 	 6.372 
 202.435 	 6.376 
 202.620 	 6.377 
 202.810 	 6.377 
 203.000 	 6.372 
 203.185 	 6.376 
 203.375 	 6.372 
 203.560 	 6.376 
 203.750 	 6.377 
 203.940 	 6.373 
 204.125 	 6.372 
 204.315 	 6.372 
 204.500 	 6.372 
 204.690 	 6.368 
 204.880 	 6.372 
 205.065 	 6.372 
